Codigo_Transacao,CPF_Cliente,Nome_Cliente,Data_Transacao,Moeda,Valor_Transacao,Tipo_Transacao,Status_Transacao,Categoria,Banco,Num_Parcelas,Taxa_Servico,Valor_Final
FIN000268,43477349325,Felipe Andrade,2023-01-31,BRL,2802.69,PIX,aprov.,Viagem,Inter,3,-32.72,2835.41
FIN000021,17390718397,Beatriz Lopes,2022-06-19,BRL,5331.59,pgto.,Aprovado,Investimento,BTG,1,95.08,5426.67
FIN000743,81341950175,Juliana Queiroz,2024-04-09,BRL,3783.46,PIX,Pendente,Alimentação,BTG,2,49.46,3832.92
FIN000458,87164268124,Amanda Vieira,2023-07-23,BRL,,Transferência,Recusada,Moradia,Banco do Brasil,1,294.48,17671.63
FIN000058,94041471315,Vanessa Coelho,2022-07-23,BRL,17917.02,Depósito,Aprovada,Viagem,C6 Bank,1,108.29,18025.31
FIN000457,30420424969,Felipe Andrade,2023-07-22,BRL,3015.83,PIX,Pendente,Tecnologia,Banco do Brasil,2,64.34,3080.17
FIN000528,30899752522,Amanda Vieira,2023-09-25,BRL,9615.49,Transferência,Aprovada,Alimentação,C6 Bank,2,97.99,9713.48
FIN000168,45558092735,Juliana,2022-10-31,BRL,23505.56,Saque,Aprovada,Vestuário,C6 Bank,2.0,148.81,23654.37
FIN000137,59111829238,Diego Peixoto,2022-10-03,BRL,7496.36,Transferência,Aprovada,Alimentação,XP,3,53.16,7549.52
FIN000223,60297390687,Natalia Correia,20.12.2022,BRL,3210.95,Transferência,Pendente,Viagem,BTG,12,69.55,3280.5
FIN000510,78271630667,Isabela Nunes,2023-09-09,BRL,7280.06,Pagamento,Aprovada,Viagem,Inter,24,146.79,7426.85
FIN000302,410.823.432-13,Isabela Nunes,2023-03-03,BRL,24411.19,PIX,Pendente,Investimento,BTG,24,561.65,24972.84
FIN000318,321.156.891.93,Diego Peixoto,2023-03-17,GBP,GBP 2771.85,DEPOSITO,Pendente,Vestuário,Inter,2,410.44,17873.11
FIN000633,72889695462,Guilherme Mota,2023-12-30,BRL,934.46,Pagamento,Aprovada,Vestuário,XP,12,-22.47,956.93
FIN000650,26590451898,Rafael Macedo,2024-01-15,BRL,6582.39,Depósito,Recusada,Moradia,XP,24,42.94,6625.33
FIN000293,73642175186,Thiago Cavalcanti,2023-02-22,BRL,6333.14,Depósito,Pendente,Vestuário,BTG,3,46.29,6379.43
FIN000984,69295138861,Carolina Azevedo,2024-11-15,BRL,16995.5,Depósito,PENDENTE,Vestuário,BTG,24,336.31,17331.81
FIN000173,42611110098,Marcelo Teixeira,2022-11-05,BRL,14603.07,Pagamento,Pendente,Tecnologia,BTG,12,137.57,14740.64
FIN000178,69182726888,Rafael Macedo,2022-11-09,BRL,4007.15,Boleto,Pendente,Investimento,BTG,12,29.51,4036.66
FIN000114,41632349195,Diego Peixoto,2022-09-12,BRL,"R$1.964,87",PIX,Aprovada,Tecnologia,C6 Bank,2,52.8,2017.67
FIN000130,48281148854,Felipe Andrade,2022-09-26,BRL,10016.54,Pagamento,Pendente,Alimentação,Inter,1,135.2,10151.74
FIN000680,89180890694,Priscila Gomes,2024-02-11,BRL,13579.39,deposito,Recusada,Investimento,Banco do Brasil,6,100.25,13679.64
FIN000442,291.726.227-19,Juliana Queiroz,2023-07-09,BRL,24956.12,Pagamento,aprovada,Tecnologia,C6 Bank,3,543.92,25500.04
FIN000543,94930691297,Isabela Nunes,2023-10-09,BRL,20537.51,Depósito,Recusada,Investimento,XP,3,595.39,21132.9
FIN000906,96292097573,Rafael Macedo,2024-09-05,BRL,5151.9,Pagamento,Aprovada,Tecnologia,XP,1.0,71.83,5223.73
FIN000492,89241395852,Juliana Queiroz,2023-08-23,BRL,9634.95,Saque,Recusada,,C6 Bank,3,198.62,9833.57
FIN000288,97043312731,Marcelo Teixeira,2023-02-18,EUR,EUR 2578.00,Transferência,Pendente,Alimentação,BTG,12,257.7,14436.69
FIN000408,77069370895,Guilherme Mota,2023-06-07,BRL,18320.12,Transferência,Recusada,Alimentação,C6 Bank,12,530.15,18850.27
FIN000994,29530149657,Felipe,2024-11-24,BRL,14668.43,Saque,Recusada,Vestuário,XP,6.0,307.4,14975.83
FIN000597,88818191651,Juliana Queiroz,2023-11-27,BRL,3424.1,Pagamento,Recusada,Viagem,XP,1,79.06,3503.16
,,,,,,,,,,,,
FIN000816,21549577243,Henrique Pinto,2024-06-14,BRL,23171.91,Transferência,Pendente,Viagem,C6 Bank,1,650.94,9268.76
FIN000854,81852826917,Juliana Queiroz,2024-07-19,BRL,3986.27,PIX,APROVADA,Investimento,Banco do Brasil,1,60.82,4047.09
FIN000898,25497214143,Carolina Azevedo,2024-08-28,BRL,83.23,Depósito,Recusada,Moradia,BTG,6,0.53,83.76
FIN000577,75348861662,Carolina Azevedo,2023-11-09,BRL,R$5501.04,PIX,Pendente,Vestuário,XP,6,70.64,5571.68
FIN000804,62654145216,Isabela_Nunes,2024-06-03,BRL,23494.03,Pagamento,Aprovada,Alimentação,BTG,12.0,434.21,23928.24
FIN000127,43384927467,Andre Monteiro,2022-09-24,BRL,17253.81,Saque,Recusada,Vestuário,Inter,12,295.21,17549.02
FIN000748,36744170120,Leticia_Moura,2024-04-13,BRL,2687.34,Transferência,Em processamento,Investimento,XP,12,56.16,2743.5
FIN000475,43556525893,Leticia Moura,2023-08-08,BRL,10536.54,Saque,Recusada,Vestuário,Banco do Brasil,1,311.17,10847.71
FIN000144,52266951327,Priscila Gomes,2022-10-09,BRL,"5238,85",Depósito,Aguardando,Vestuário,Inter,6,131.2,5370.05
FIN000087,45768297269,Leonardo Braga,2022-08-18,BRL,15366.31,PIX,RECUSADA,Investimento,XP,1,,15512.75
FIN000848,32670948022,Natalia Correia,2024-07-14,BRL,854.85,PIX,Aprovada,Investimento,XP,12,18.92,873.77
FIN000901,36251195693,Beatriz Lopes,2024-08-31,BRL,17031.37,Pagamento,Pendente,Investimento,Banco do Brasil,2x,85.19,17116.56
FIN000246,981.619.320.54,Andre Monteiro,2023-01-10,BRL,7686.14,PIX,pendente,Vestuário,BTG,24,214.86,7901.0
FIN000075,45287058941,Leticia Moura,2022-08-07,EUR,EUR 3977.37,Depósito,Aprovada,Viagem,C6 Bank,2,333.3,22208.83
FIN000647,37592999523,Carolina Azevedo,2024-01-12,BRL,5195.52,Pagamento,Aprovada,Alimentação,Inter,1,79.42,5274.94
FIN000684,22738023519,Henrique Pinto,2024-02-15,BRL,"R$17.511,78",PIX,Aprovada,Tecnologia,XP,2,213.73,17725.51
FIN000976,29616155973,Leticia Moura,2024-11-08,BRL,7305.42,Saque,Aprovada,Alimentação,Banco do Brasil,6,52.5,7357.92
FIN000047,27813230244,Beatriz,2022-07-13,BRL,6353.17,deposito,Recusada,Tecnologia,BTG,1,147.73,6500.9
FIN000845,161-614-440-74,Andre Monteiro,2024-07-11,BRL,13967.71,Saque,Autorizada,Tecnologia,Inter,2,315.21,14282.92
FIN000571,876.231.330.41,isabela nunes,2023-11-03,BRL,7175.57,dep.,Autorizada,Vestuário,Banco do Brasil,1.0,88.21,7263.78
FIN000755,21425873994,Amanda Vieira,2024-04-20,BRL,20492.68,P-I-X,Pendente,Viagem,Inter,3,-430.79,20923.47
FIN000428,48866057889,Leonardo Braga,2023-06-26,BRL,6193.1,Saque,Recusada,Moradia,C6 Bank,1,179.49,6372.59
FIN000678,64695911759,Vanessa Coelho,2024-02-09,BRL,1636.76,PIX,Recusada,Alimentação,C6 Bank,1,29.44,1666.2
FIN000554,10712517687,Henrique,2023-10-19,BRL,13882.52,Depósito,Pend.,Viagem,C6 Bank,6X,78.93,13961.45
FIN000672,93435910975,Amanda Vieira,2024-02-04,BRL,2893.68,Transferência,Aprovada,Tecnologia,C6 Bank,1,43.97,2937.65
FIN000667,17372962427,Andre Monteiro,2024-01-30,BRL,"9325,94",Pagamento,pendente,Viagem,Banco do Brasil,6,46.66,3730.38
FIN000263,27391755478,Rafael Macedo,2023-01-26,BRL,16011.39,Depósito,Pendente,Moradia,C6 Bank,1,459.33,16470.72
FIN000631,48222961772,Leticia Moura,Dec 28 2023,BRL,15706.82,Depósito,Aprovada,Alimentação,Banco do Brasil,12,291.65,15998.47
FIN000715,86636745370,Isabela Nunes,2024-03-14,BRL,22855.53,PIX,Recusada,Investimento,BTG,2X,646.39,23501.92
FIN000477,28398691044,Vanessa Coelho,2023-08-10,BRL,7788.1,Depósito,Aprovada,Vestuário,XP,6,149.4,7937.5
FIN000489,16916418923,Camila Rocha,2023-08-20,BRL,,Transferência,Aprovada,Investimento,BTG,1,147.15,20114.65
FIN000589,886-683-482-18,LETICIA MOURA,20-nov.-2023,USD,USD 3964.32,Depósito,Aprovada,Viagem,Inter,12,113.09,19934.67
FIN000802,13569230034,Andre Monteiro,2024-06-02,BRL,"R$16.123,78",Saque,recus.,Moradia,C6 Bank,24,187.58,16311.36
FIN000155,74848543614,Leticia Moura,19.10.2022,EUR,EUR 3461.35,Pagamento,Recusada,Viagem,C6 Bank,2,357.74,19395.19
FIN000639,10678542782,Guilherme Mota,2024-01-05,EUR,EUR 1082.98,Pagamento,pendente,Tecnologia,Banco do Brasil,1,127.4,6083.8
FIN000378,26721235516,Rafael Macedo,May 11 2023,BRL,16881.62,Pagamento,Recusada,Moradia,BTG,2,378.57,17260.19
FIN000820,31710635956,Thiago Cavalcanti,2024-06-18,BRL,18635.55,PIX,Recusada,Moradia,Banco do Brasil,24X,256.85,18892.4
FIN000439,76731683428,Vanessa Coelho,2023-07-06,BRL,12600.7,Saque,Recusada,Moradia,XP,12,321.3,12922.0
FIN000902,68520887079,Vanessa Coelho,2024-09-01,BRL,17756.2,pix,Pendente,Moradia,Inter,24,96.84,17853.04
FIN000390,53012964824,beatriz lopes,2023-05-22,BRL,"19175,88",Depósito,pendente,,Inter,2,405.98,19581.86
FIN000309,21139733396,Henrique Pinto,09.03.2023,BRL,18008.95,Depósito,aprovada,Tecnologia,XP,2,529.62,18538.57
FIN000322,61352691040,Leonardo Braga,2023-03-21,BRL,50.43,TED,Recusada,Viagem,C6 Bank,1,0.73,51.16
FIN000225,81575566427,Amanda_Vieira,2022-12-22,BRL,2280.2,dep.,Bloqueada,Vestuário,BTG,12,31.17,2311.37
FIN000508,81882387178,Rodrigo Farias,07.09.2023,BRL,1049.49,Pagamento,Recusada,Investimento,C6 Bank,1,21.24,1070.73
FIN000121,94843990372,Juliana Queiroz,2022-09-18,EUR,EUR 3856.98,Boleto,Pendente,Alimentação,Banco do Brasil,6,161.73,21375.14
FIN000110,12575822230,Marcelo Teixeira,2022-09-08,BRL,20181.57,Saque,Pendente,Tecnologia,BTG,24,252.76,20434.33
FIN000289,40935468399,Isabela Nunes,2023/02/19,BRL,20217.11,Pagamento,Aprovada,Moradia,XP,1,305.65,20522.76
FIN000607,99763910371,Felipe Andrade,2023/12/06,BRL,15168.98,Depósito,Pendente,Moradia,Inter,6,328.45,15497.43
FIN000254,73110161181,Isabela Nunes Nunes,2023-01-18,BRL,24428.53,Boleto,Pendente,Viagem,BTG,6,700.29,25128.82
FIN000214,44415510120,Andre Monteiro,2022-12-12,BRL,24686.02,Transferência,Pendente,Moradia,BTG,24,421.9,25107.92
FIN000496,67439180262,Isabela Nunes,2023-08-27,BRL,24935.57,Saque,Pendente,Vestuário,XP,1,336.2,25271.77
FIN000452,18960617828,Beatriz Lopes,jul. 18 2023,BRL,12185.91,Depósito,Em processamento,Vestuário,C6 Bank,24,341.93,12527.84
FIN000108,71047735054,Natalia Correia,2022-09-06,BRL,3907.77,Retirada,Recusada,Investimento,XP,à vista,31.39,3939.16
FIN000724,52013613825,Rodrigo Farias,2024-03-22,BRL,"11577,19",PIX,Pendente,Investimento,Banco do Brasil,12,,4630.88
FIN000063,52686231625,Thiago Cavalcanti,2022-07-27,BRL,24412.46,Transferência,Pendente,Alimentação,XP,3,410.99,24823.45
FIN000767,837.275.846-62,Diego Peixoto,2024-05-01,BRL,22400.13,PIX,Recusada,Investimento,Banco do Brasil,24,550.55,22950.68
FIN000154,58329026046,Andre Monteiro,2022-10-18,BRL,24083.58,Saque,Recusada,Moradia,Inter,2,562.83,24646.41
FIN000924,47834850438,Felipe Andrade,2024-09-21,BRL,R$7853.86,PIX,Recusada,Vestuário,BTG,2,45.47,7899.33
FIN000064,13426759225,Leonardo Braga,2022-07-28,BRL,17646.94,Depósito,Recusada,Viagem,XP,3,272.26,7058.78
FIN000101,64948029929,Rafael Macedo,2022-08-31,BRL,19262.44,Pagamento,recus.,Vestuário,BTG,2,474.05,19736.49
FIN000209,43213054167,Felipe Andrade,2022-12-08,BRL,1099.12,Depósito,Bloqueada,Investimento,Banco do Brasil,3,19.68,1118.8
FIN000494,72752755349,Andre Monteiro,2023-08-25,BRL,20330.62,Transferência,Pendente,Vestuário,Inter,3X,540.67,20871.29
FIN000049,17218927312,Priscila Gomes,2022-07-14,BRL,11682.64,Depósito,Recusada,Moradia,Banco do Brasil,2,132.2,11814.84
FIN000545,81392478197,Rodrigo Farias,2023-10-11,BRL,10655.14,Pagamento,Autorizada,Moradia,,6,265.53,10920.67
FIN000764,82952677083,Leticia Moura,2024-04-28,BRL,R$4387.33,pix,Negada,Vestuário,XP,12,80.2,4467.53
FIN000270,90722753967,Felipe Andrade,02/01/2023,BRL,23771.89,Depósito,Pendente,Moradia,BTG,3,216.2,23988.09
FIN000669,750.248.239-76,Isabela Nunes,01/02/2024,BRL,22896.01,Pagamento,Aprovada,Moradia,XP,2,439.17,23335.18
FIN000003,45544534947,Beatriz Lopes,2022-06-02,GBP,GBP 3277.16,PAGAMENTO,Recusada,Alimentação,XP,24,448.24,21094.34
FIN000273,99836613819,Vanessa Coelho,2023-02-04,BRL,23839.28,transferencia,Aprovada,Viagem,C6 Bank,2,273.86,24113.14
FIN000881,10611472523,Camila Rocha,2024-08-13,BRL,4783.31,Transferência,Aprovada,Vestuário,BTG,12,135.59,4918.9
FIN000645,744-538-987-29,Amanda Vieira,2024-01-10,BRL,13358.51,Pagamento,Pendente,Moradia,Banco do Brasil,1,265.47,13623.98
FIN000619,608.944.508.58,Diego Peixoto,2023-12-17,BRL,20120.86,Pagamento,Aprovada,Vestuário,C6 Bank,1,130.53,20251.39
FIN000910,23378772848,Beatriz Lopes,2024-09-08,BRL,12180.58,Saque,Pendente,Viagem,Banco do Brasil,12,297.56,12478.14
FIN000674,816.939.407-12,Beatriz Lopes,2024-02-06,BRL,3691.84,Depósito,Recusada,Moradia,BTG,12,44.73,3736.57
FIN000878,51636246560,Natalia Correia,2024-08-10,BRL,99999999.0,Saque,Recusada,Tecnologia,XP,2,54.87,9067.29
FIN000295,48340939232,Andre Monteiro,2023-02-24,BRL,6480.14,Saque,Recusada,Vestuário,XP,24,126.52,6606.66
FIN000799,13558699955,Andre Monteiro,2024-05-30,BRL,3120.66,pix,aprovada,Investimento,C6 Bank,1,31.68,3152.34
FIN000482,65940066540,Camila_Rocha,2023-08-14,BRL,21620.4,Saque,Recusada,Alimentação,C6 Bank,3,478.06,22098.46
FIN000220,22836251235,Juliana Queiroz,2022-12-18,BRL,21786.71,Transferência,Recusada,Alimentação,XP,3,272.57,22059.28
FIN000375,31750465511,Guilherme Mota,2023-05-08,BRL,9873.21,Depósito,Recusada,Moradia,Inter,12,61.37,9934.58
FIN000701,931-960-548-11,Andre Monteiro,mar. 01 2024,BRL,21890.11,Saque,Recusada,Moradia,C6 Bank,24x,144.34,22034.45
FIN000085,86435846926,Leticia Moura,2022-08-16,BRL,5919.9,Saque,Aprovada,Viagem,C6 Bank,1,91.15,2367.96
FIN000278,99370122376,Priscila Gomes,2023-02-09,BRL,10302.36,Pagamento,Aprovada,Investimento,XP,12,128.76,10431.12
FIN000947,85714276638,Leticia Moura,2024-10-12,BRL,"R$16.500,21",Depósito,Recusada,Vestuário,Banco do Brasil,12,282.9,16783.11
FIN000586,39016896961,Rafael_Macedo,2023-11-17,BRL,15109.12,Depósito,Aprovada,Alimentação,C6 Bank,2 parcelas,397.18,15506.3
FIN000296,88348317222,ISABELA NUNES,2023-02-25,BRL,15469.6,Pagamento,Recusada,Viagem,Inter,6,99.93,15569.53
FIN000850,,Vanessa Coelho,2024-07-15,BRL,11392.87,Depósito,Pendente,Vestuário,C6 Bank,12,236.0,11628.87
FIN000400,77712776392,Camila Rocha,2023-05-31,BRL,13214.83,Depósito,Pend.,Alimentação,Banco do Brasil,2,240.17,13455.0
FIN000778,271.157.841-56,Leticia Moura,2024-05-11,BRL,13853.37,Depósito,Pendente,Investimento,XP,24,122.77,13976.14
FIN000771,90629360944,Andre Monteiro,04.05.2024,BRL,15699.41,Saque,pendente,Investimento,Inter,1,237.3,15936.71
FIN000567,23559768634,Isabela Nunes,2023/10/31,BRL,23321.46,PIX,Recusada,Alimentação,Inter,24,158.2,23479.66
FIN000693,50065994792,Beatriz Lopes,2024-02-23,BRL,11509.82,PIX,Recusada,Viagem,Banco do Brasil,24,73.08,11582.9
FIN000733,68235215637,Thiago Cavalcanti,2024-03-30,BRL,24938.14,Saque,Recusada,Viagem,Banco do Brasil,3,724.91,25663.05
FIN000703,52292578291,Vanessa_Coelho,2024-03-03,BRL,"R$3.820,63",Pagamento,Pendente,Moradia,Banco do Brasil,12,82.6,3903.23
FIN000598,42925522112,Rodrigo Farias,28.11.2023,BRL,4926.5,PIX,Recusada,Viagem,XP,3,89.59,5016.09
FIN000566,26349117067,Henrique Pinto,2023-10-30,BRL,4242.05,Transferência,Aprovada,Tecnologia,XP,2,119.11,4361.16
FIN000520,49471994355,Rodrigo Farias,2023-09-18,BRL,21087.37,PIX,Aprovada,Alimentação,BTG,6,376.62,8434.95
FIN000065,911-871-287-35,Rafael Macedo,2022-07-29,BRL,15933.67,Transferência,Pendente,Alimentação,Inter,12,424.62,16358.29
FIN000133,64612155296,Priscila Gomes,2022-09-29,BRL,15288.05,Depósito,Autorizada,Alimentação,C6 Bank,3,174.39,15462.44
FIN000608,30256850624,Henrique Pinto,2023-12-07,BRL,22309.85,Pagamento,Recusada,Alimentação,C6 Bank,1,492.38,8923.94
FIN000962,57714351936,Rodrigo Farias,2024-10-26,BRL,21994.49,Pagamento,Aprovada,Tecnologia,XP,12,534.44,22528.93
FIN000705,63947642263,Diego Peixoto,2024-03-05,BRL,0.0,Saque,Recusada,Vestuário,XP,1,194.96,17101.92
FIN000082,49429078756,Natalia Correia,2022-08-14,BRL,12930.51,Saque,Recusada,Tecnologia,Inter,24,226.13,13156.64
FIN000276,32380833192,Diego Peixoto,2023-02-07,BRL,11392.74,PIX,Pendente,Moradia,Banco do Brasil,3,214.06,11606.8
FIN000637,68540778049,Vanessa Coelho,2024-01-03,BRL,11102.32,PIX,Aprovada,Moradia,C6 Bank,6,209.66,11311.98
FIN000116,28031170321,Carolina Azevedo,2022-09-14,BRL,18796.28,Transferência,Pendente,Vestuário,C6 Bank,3,544.9,19341.18
FIN000192,82765569944,Vanessa Coelho,2022-11-22,BRL,15235.19,PIX,Pendente,Moradia,C6 Bank,24,251.94,6094.08
FIN000810,21414291154,Vanessa Coelho,2024-06-09,BRL,6874.12,Depósito,Pendente,,XP,6,76.98,6951.1
FIN000770,15671085543,Vanessa Coelho,2024-05-03,BRL,11287.57,Depósito,RECUSADA,Viagem,C6 Bank,24,270.45,11558.02
FIN000075,45287058941,Leticia Moura,2022-08-07,EUR,EUR 3977.37,Depósito,Aprovada,Viagem,C6 Bank,2,333.3,22208.83
FIN000351,39588317516,Diego Peixoto,2023-04-16,BRL,23963.97,Depósito,Aprovada,Viagem,Inter,1,-283.73,24247.7
FIN000787,83484948249,Guilherme Mota,2024-05-19,EUR,EUR 3810.52,Transf.,Pendente,Investimento,C6 Bank,2,110.94,21068.82
FIN000572,,Leticia Moura,2023-11-04,BRL,20850.09,TED,Recusada,Vestuário,BTG,24,143.59,8340.04
FIN000260,292-701-594-43,Camila Rocha,2023-01-23,BRL,21453.02,Saque,pendente,Moradia,Inter,12,119.15,21572.17
FIN000502,64419767783,Amanda Vieira,2023-09-01,BRL,16680.79,Depósito,Pendente,Tecnologia,BTG,2,305.18,16985.97
FIN000183,772-155-393-22,Camila Rocha,2022-11-14,BRL,4788.02,PIX,Aprovada,Investimento,XP,24,46.08,4834.1
FIN000834,25950049777,Marcelo Teixeira Teixeira,2024-07-01,BRL,13357.4,Saque,Pendente,Tecnologia,Inter,12,362.6,13720.0
FIN000482,65940066540,Camila_Rocha,2023-08-14,BRL,21620.4,Saque,Recusada,Alimentação,C6 Bank,3,478.06,22098.46
FIN000481,34260340177,Felipe Andrade,2023-08-13,BRL,2726.24,Saque,Pendente,Viagem,BTG,2,56.18,2782.42
FIN000612,142-629-688-25,Juliana Queiroz,2023-12-11,BRL,8007.38,Transferência,Aprovada,Viagem,Inter,6,201.59,8208.97
FIN000542,52534142395,Natalia Correia,2023-10-08,BRL,22079.2,Pagamento,Bloqueada,Viagem,BTG,6,448.21,22527.41
FIN000564,79483396563,Leonardo Braga,28-Oct-2023,BRL,13777.96,PIX,Pendente,Investimento,BTG,12,203.4,13981.36
FIN000720,45615436636,Marcelo Teixeira,2024-03-19,BRL,9897.6,Transferência,Bloqueada,Alimentação,C6 Bank,12,292.97,10190.57
FIN000007,89093495757,Guilherme Mota,2022-06-06,BRL,"7475,68",Depósito,Aprovada,Viagem,Banco do Brasil,1,74.41,7550.09
FIN000890,512.893.585.14,Amanda Vieira,2024-08-21,BRL,16226.74,Transferência,Pendente,Moradia,C6 Bank,2,335.7,16562.44
FIN000928,,Beatriz Lopes,2024-09-25,BRL,6732.06,Transferência,Aprovada,Moradia,Banco do Brasil,12,94.4,6826.46
FIN000421,96455110826,Beatriz Lopes,2023-06-19,BRL,10278.53,PIX,Recusada,Moradia,Banco do Brasil,3,226.42,10504.95
FIN000957,867-470-433-42,Diego Peixoto,2024-10-21,BRL,"3723,08",PIx,Pendente,Tecnologia,Banco do Brasil,24,46.59,3769.67
FIN000041,31953893475,Beatriz Lopes,07/07/2022,BRL,13575.09,Saque,Pendente,Viagem,Inter,12,239.16,13814.25
FIN000436,27937717185,Isabela Nunes,07/03/2023,EUR,EUR 1169.16,Depósito,Recusada,Investimento,C6 Bank,1,102.6,6532.98
FIN000470,58219491028,Marcelo,08/03/2023,BRL,11252.51,Depósito,Recusada,Moradia,BTG,24,300.09,11552.6
FIN000308,45851195810,Guilherme Mota,2023-03-08,BRL,9821.92,Depósito,Pendente,Investimento,XP,6,269.54,10091.46
FIN000813,54985332091,Camila Rocha,2024-06-12,BRL,,Depósito,Pend.,Alimentação,C6 Bank,12,-288.99,13791.44
FIN000018,27171794739,Rafael Macedo,2022-06-16,BRL,13134.15,TED,Aprovada,Alimentação,XP,12,219.7,13353.85
FIN000573,28235454770,Rafael Macedo,2023-11-05,BRL,6761.3,Depósito,Aprovada,Tecnologia,Banco do Brasil,2,127.4,6888.7
